2505f0 bpf_probe_unregister
250be0 kprobe_event_cmd_init
253790 kprobe_event_delete
254730 bpf_get_kprobe_info
254990 destroy_local_trace_kprobe
254a40 __traceiter_error_report_end
254da0 __traceiter_cpu_idle
254e04 __traceiter_powernv_throttle
254e70 __traceiter_pstate_sample
254f30 __traceiter_cpu_frequency
254f94 __traceiter_cpu_frequency_limits
254fe4 __traceiter_device_pm_callback_start
255050 __traceiter_device_pm_callback_end
2550b4 __traceiter_suspend_resume
255120 __traceiter_wakeup_source_activate
255184 __traceiter_wakeup_source_deactivate
2551e4 __traceiter_clock_enable
255250 __traceiter_clock_disable
2552c0 __traceiter_clock_set_rate
255330 __traceiter_power_domain_target
2553a0 __traceiter_pm_qos_add_request
2553f4 __traceiter_pm_qos_update_request
255444 __traceiter_pm_qos_remove_request
255494 __traceiter_pm_qos_update_target
255500 __traceiter_pm_qos_update_flags
255570 __traceiter_dev_pm_qos_add_request
2555e0 __traceiter_dev_pm_qos_update_request
255650 __traceiter_dev_pm_qos_remove_request
258790 __traceiter_rpm_suspend
2587f4 __traceiter_rpm_resume
258854 __traceiter_rpm_idle
2588b4 __traceiter_rpm_usage
258914 __traceiter_rpm_return_int
259750 dynevent_create
259770 dyn_event_seq_stop
259794 dyn_event_seq_start
2597d4 dyn_event_seq_next
259824 trace_event_dyn_try_get_ref
259a40 dyn_event_release
259d00 dyn_events_release_all
259e70 dynevent_arg_add
259ee0 dynevent_arg_pair_add
259f60 dynevent_str_add
25a060 print_type_u8
25a0c4 print_type_u16
25a130 print_type_u32
25a194 print_type_u64
25a200 print_type_s8
25a264 print_type_s16
25a2d0 print_type_s32
25a334 print_type_s64
25a3a0 print_type_x8
25a404 print_type_x16
25a470 print_type_x32
25a4d4 print_type_x64
25a540 print_type_symbol
25a5a4 print_type_string
25bcf4 traceprobe_parse_event_name
25bf40 traceprobe_parse_probe_arg
25c1b0 traceprobe_free_probe_arg
25c234 traceprobe_update_arg
25c360 traceprobe_set_print_fmt
25c3f0 traceprobe_define_arg_fields
25c4b0 trace_probe_append
25c580 trace_probe_unlink
25c604 trace_probe_cleanup
25c7b0 trace_probe_register_event_call
25c8c0 trace_probe_add_file
25c994 trace_probe_remove_file
25ca60 trace_probe_compare_arg_type
25cb54 trace_probe_match_command_args
25cc30 trace_probe_create
260070 bpf_get_uprobe_info
260124 create_local_trace_uprobe
2602c0 destroy_local_trace_uprobe
2604e0 irq_work_queue
260640 irq_work_single
260730 irq_work_run
260774 irq_work_tick
2a1990 __bpf_prog_enter
2a1a30 __bpf_prog_exit
2a1a74 __bpf_prog_enter_sleepable
2a1b24 __bpf_prog_exit_sleepable
2a1b94 __bpf_tramp_enter
2a1c00 __bpf_tramp_exit
2c22a4 perf_pmu_unregister
2c3430 perf_pmu_register
2c4f90 perf_event_addr_filters_sync
2c6fa0 perf_event_period
2c7770 perf_event_disable
2c77b4 perf_event_pause
2c7f60 perf_event_enable
2c7fa4 perf_event_refresh
2c9c10 perf_event_read_value
2cc960 perf_proc_update_handler
2cca30 perf_cpu_time_max_percent_handler
2ccbc0 perf_pmu_disable
2ccc40 perf_pmu_enable
2cdb60 perf_event_disable_local
2cdb80 perf_event_disable_inatomic
2cdcd0 perf_event_task_tick
2cdd70 perf_event_read_local
2cdee4 perf_event_task_enable
2cdfd0 perf_event_task_disable
2ce0d0 perf_event_update_userpage
2cf410 perf_pmu_resched
2cfcc0 __perf_event_task_sched_out
2cfdf0 __perf_event_task_sched_in
2d0020 ring_buffer_get
2d00e4 ring_buffer_put
2d0ab0 perf_event_create_kernel_counter
2d18b0 perf_pmu_migrate_context
2d1d80 perf_event_release_kernel
2d3280 perf_event_wakeup
2d3990 perf_output_sample
2d4050 perf_prepare_sample
2d4580 perf_event_output_forward
2d4620 perf_event_output_backward
2d46c0 perf_event_output
2d49b0 perf_event_fork
2d4a64 perf_event_comm
2d4bd0 perf_event_mmap
2d4ea0 perf_event_ksymbol
2d50b0 perf_event_bpf_event
2d5200 perf_event_text_poke
2d52e0 perf_event_account_interrupt
2d5300 perf_event_overflow
2d5594 perf_tp_event
2d57b0 perf_trace_run_bpf_submit
2d5890 perf_swevent_put_recursion_context
2d58c0 ___perf_sw_event
2d59f0 __perf_sw_event
2d5a60 perf_event_set_bpf_prog
2d6360 perf_event_free_bpf_prog
2d63d0 perf_bp_event
2d6464 perf_event_exit_task
2d6520 perf_event_free_task
2d6830 perf_event_get
2d68f0 perf_event_init_task
2d6990 perf_event_init_cpu
2d6b34 perf_event_exit_cpu
2f4bd0 copy_to_user_nofault
2ff0b0 __lru_add_drain_all
316f40 kmemdup
368220 post_alloc_hook
3d5340 get_obj_cgroup_from_current
40bfa0 user_path_create
454844 touch_buffer
61b2b0 avc_has_perm_noaudit
6a69a4 ima_should_queue_key
6d4a10 blk_op_str
6e6ba0 __blk_mq_end_request
729f30 lockref_get_not_zero
72a050 lockref_put_or_lock
72a150 lockref_get_or_lock
72a250 lockref_get
72a340 lockref_get_not_dead
72a450 lockref_put_not_zero
72a7c0 sort_r
72a9b0 sort
72acb4 match_token
72ad10 match_strlcpy
72ad70 match_strdup
72ada0 match_uint
72ae10 match_u64
72af90 match_int
72afb0 match_octal
72afd0 match_hex
72b0e0 prandom_seed_full_state
72b260 prandom_seed
72b3e4 prandom_bytes
72b550 prandom_u32
72b980 kvasprintf
72bb20 kvasprintf_const
72bc00 kasprintf
72c404 bitmap_release_region
72c424 bitmap_allocate_region
72c480 bitmap_find_free_region
72c700 bitmap_cut
72c7f4 bitmap_free
72c810 bitmap_print_to_pagebuf
72c910 bitmap_print_bitmask_to_buf
72c950 bitmap_print_list_to_buf
72c990 bitmap_parse
72cb80 bitmap_parse_user
72cbf0 __bitmap_weight
72cd10 devm_bitmap_zalloc
72cd30 bitmap_find_next_zero_area_off
72d260 bitmap_parselist_user
72d374 bitmap_ord_to_pos
72d570 bitmap_bitremap
72d860 __sg_page_iter_start
72d8b4 sg_nents
72d900 __sg_free_table
72d9b0 sg_init_table
72da00 __sg_alloc_table
72db80 sg_miter_start
72dbf4 sgl_free_n_order
72dc94 sg_miter_stop
72dd30 sg_nents_for_len
72df20 sg_last
72df94 sg_miter_next
72e0a4 sg_miter_skip
72e170 sg_copy_buffer
72e290 sg_copy_from_buffer
72e2b4 sg_copy_to_buffer
72e2e0 sg_pcopy_from_buffer
72e300 sg_pcopy_to_buffer
72e320 sg_zero_buffer
72e480 sg_free_table
72e544 sg_alloc_append_table_from_pages
72e984 sg_alloc_table_from_pages_segment
72ea80 sgl_free_order
72eb04 sgl_free
72eb84 sg_alloc_table
72ec70 sgl_alloc_order
72eea0 sgl_alloc
72eed0 list_sort
72f240 generate_random_uuid
72f290 generate_random_guid
72f2e0 guid_gen
72f410 guid_parse
72f460 uuid_gen
72f4b0 uuid_parse
72f560 iov_iter_init
72f5e4 iov_iter_kvec
72f620 iov_iter_bvec
72f970 iov_iter_npages
72fb70 iov_iter_pipe
72fd70 fault_in_iov_iter_readable
72fe50 fault_in_iov_iter_writeable
7301a0 iov_iter_xarray
7301d4 iov_iter_discard
730ab4 iov_iter_advance
730e30 iov_iter_get_pages_alloc
7311b0 iov_iter_get_pages
731bc4 csum_and_copy_to_iter
732370 _copy_from_iter_flushcache
732824 _copy_from_iter
732cd0 copy_page_from_iter
732f10 _copy_to_iter
